title,author,publisher,first_publish_year,isbn,language,subject,openlibrary_key,cover_url
A Study of History,Arnold J. Toynbee; D.C Somervell,,1900,,fre; und; chi; urd; rus; eng,,/works/OL1108523W,https://covers.openlibrary.org/b/id/121255-L.jpg
The Enduring Vision,Paul S. Boyer,,1987,,eng,,/works/OL2024851W,https://covers.openlibrary.org/b/id/8237922-L.jpg
She,H. Rider Haggard,,1886,,pol; heb; epo; spa; ger; por; fre; hin; chi; cor; eng; gle; ita; urd; ukr,,/works/OL17453W,https://covers.openlibrary.org/b/id/295537-L.jpg
A history of the English-speaking peoples,Winston S. Churchill; Winston Churchhill; Jeffrey Webb; WINSTON CHURCHILL; CHURCHILL,,1950,,eng,,/works/OL134334W,https://covers.openlibrary.org/b/id/6602132-L.jpg
A Brief History of Time,Stephen Hawking,,1988,,gre; pol; fre; ger; chi; cze; rus; vie; fin; spa; por; tur; dut; eng; ita,,/works/OL1892617W,https://covers.openlibrary.org/b/id/10432365-L.jpg
History,Herodotus,,1494,,rum; lat; grc; gre; fre; ger; und; chi; spa; eng; ita,,/works/OL15678068W,https://covers.openlibrary.org/b/id/9829028-L.jpg
History of the Decline and Fall of the Roman Empire Complete and Unabridged,Edward Gibbon,,1776,,spa; grc; eng,,/works/OL1285005W,https://covers.openlibrary.org/b/id/5978577-L.jpg
History of the Peloponnesian War,Thucydides,,1526,,lat; grc; gre; ger; cze; mul; dut; eng; ita,,/works/OL16200353W,https://covers.openlibrary.org/b/id/5641196-L.jpg
Naturalis historia,Pliny the Elder,,1469,,ger; grc; ita; mul; eng; spa; fre; lat,,/works/OL1257866W,https://covers.openlibrary.org/b/id/6543272-L.jpg
The Night Before Christmas,Clement Clarke Moore,,1857,,lat; fre; jpn; spa; eng,,/works/OL655908W,https://covers.openlibrary.org/b/id/8236410-L.jpg
Tender is the Night,F. Scott Fitzgerald,,1933,,spa; rus; cze; dut; fre; eng; kor; ita,,/works/OL468485W,https://covers.openlibrary.org/b/id/6984433-L.jpg
David Copperfield,Charles Dickens,,1800,,fre; ger; chi; ara; rus; por; heb; yid; jpn; mon; vie; swe; alb; eng; ita; swa; und; srp; spa; dut; cat,,/works/OL8662242W,https://covers.openlibrary.org/b/id/1048892-L.jpg
The Story of Doctor Dolittle,Hugh Lofting,,1920,,pol; ger; chi; jpn; spa; eng,,/works/OL1449046W,https://covers.openlibrary.org/b/id/5262289-L.jpg
Hans Andersen's Fairy Tales,Hans Christian Andersen,,1846,,arm; por; dan; ind; spa; ben; dut; fry; glg; cze; cat; fre; mar; swe; gle; ger; eng; tgl; yid; nor,,/works/OL16249171W,https://covers.openlibrary.org/b/id/320591-L.jpg
Plays (36),William Shakespeare,,1623,,dan; ger; eng; fre; und; swe,,/works/OL362289W,https://covers.openlibrary.org/b/id/9023411-L.jpg
Salomé,Oscar Wilde,,1893,,arm; pol; spa; rus; cze; mul; ger; por; fre; eng; yid,,/works/OL14877882W,https://covers.openlibrary.org/b/id/8246115-L.jpg
Белые ночи,Фёдор Михайлович Достоевский,,1848,,fre; ger; rus; vie; spa; por; eng; ita,,/works/OL166952W,https://covers.openlibrary.org/b/id/3293338-L.jpg
The Raven,Edgar Allan Poe,,1845,,heb; spa; rus; cze; ger; hun; lat; por; dut; fre; eng; swe; ita; yid; fin; bul,,/works/OL41081W,https://covers.openlibrary.org/b/id/8246077-L.jpg
The Mysterious Affair at Styles,Agatha Christie,,1920,,fre; ger; ara; heb; rus; chi; lav; spa; por; eng; ita,,/works/OL472715W,https://covers.openlibrary.org/b/id/13699667-L.jpg
